metric,component,formula,numerator,denominator,value,numerator_sample_ids,denominator_sample_ids
erroneous_execution_rate,overall,erroneously executed packages / all actually executed packages,0,15,0.0,,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018
valid_coverage_rate,overall,correctly executed packages / all notices labeled is_executable=true,15,20,0.75,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-011;GF-EVAL-012;GF-EVAL-013;GF-EVAL-014;GF-EVAL-015;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-045;GF-EVAL-046
false_rejection_rate,overall,executable notices not correctly executed / all notices labeled is_executable=true,5,20,0.25,GF-EVAL-011;GF-EVAL-013;GF-EVAL-015;GF-EVAL-045;GF-EVAL-046,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-011;GF-EVAL-012;GF-EVAL-013;GF-EVAL-014;GF-EVAL-015;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-045;GF-EVAL-046
package_complete_accuracy,overall,completely correct packages / all notices labeled is_executable=true,15,20,0.75,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-011;GF-EVAL-012;GF-EVAL-013;GF-EVAL-014;GF-EVAL-015;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-045;GF-EVAL-046
safety_macro_f1,macro,sum(F1 for the four safety states) / 4,3.6541019955654104,4,0.9135254988913526,,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-011;GF-EVAL-012;GF-EVAL-013;GF-EVAL-014;GF-EVAL-015;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-019;GF-EVAL-020;GF-EVAL-021;GF-EVAL-022;GF-EVAL-023;GF-EVAL-024;GF-EVAL-025;GF-EVAL-026;GF-EVAL-027;GF-EVAL-028;GF-EVAL-029;GF-EVAL-030;GF-EVAL-031;GF-EVAL-032;GF-EVAL-033;GF-EVAL-034;GF-EVAL-035;GF-EVAL-036;GF-EVAL-037;GF-EVAL-038;GF-EVAL-039;GF-EVAL-040;GF-EVAL-041;GF-EVAL-042;GF-EVAL-043;GF-EVAL-044;GF-EVAL-045;GF-EVAL-046
safety_macro_f1,READY_TO_CONFIRM,2 * precision * recall / (precision + recall),19,22,0.9268292682926829,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-043;GF-EVAL-044;GF-EVAL-045;GF-EVAL-046,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-043;GF-EVAL-044;GF-EVAL-045;GF-EVAL-046;GF-EVAL-011;GF-EVAL-013;GF-EVAL-015
safety_macro_f1,NEED_USER_INPUT,2 * precision * recall / (precision + recall),7,7,1.0,GF-EVAL-023;GF-EVAL-024;GF-EVAL-025;GF-EVAL-026;GF-EVAL-027;GF-EVAL-028;GF-EVAL-029,GF-EVAL-023;GF-EVAL-024;GF-EVAL-025;GF-EVAL-026;GF-EVAL-027;GF-EVAL-028;GF-EVAL-029
safety_macro_f1,CONTRADICTION_BLOCKED,2 * precision * recall / (precision + recall),13,13,1.0,GF-EVAL-019;GF-EVAL-020;GF-EVAL-021;GF-EVAL-022;GF-EVAL-030;GF-EVAL-031;GF-EVAL-032;GF-EVAL-033;GF-EVAL-034;GF-EVAL-035;GF-EVAL-036;GF-EVAL-041;GF-EVAL-042,GF-EVAL-019;GF-EVAL-020;GF-EVAL-021;GF-EVAL-022;GF-EVAL-030;GF-EVAL-031;GF-EVAL-032;GF-EVAL-033;GF-EVAL-034;GF-EVAL-035;GF-EVAL-036;GF-EVAL-041;GF-EVAL-042
safety_macro_f1,RECAPTURE_REQUIRED,2 * precision * recall / (precision + recall),4,7,0.7272727272727273,GF-EVAL-037;GF-EVAL-038;GF-EVAL-039;GF-EVAL-040,GF-EVAL-037;GF-EVAL-038;GF-EVAL-039;GF-EVAL-040;GF-EVAL-011;GF-EVAL-013;GF-EVAL-015
confusion_matrix,READY_TO_CONFIRM->READY_TO_CONFIRM,count(samples with actual state and predicted state),19,46,19,GF-EVAL-001;GF-EVAL-002;GF-EVAL-003;GF-EVAL-004;GF-EVAL-005;GF-EVAL-006;GF-EVAL-007;GF-EVAL-008;GF-EVAL-009;GF-EVAL-010;GF-EVAL-012;GF-EVAL-014;GF-EVAL-016;GF-EVAL-017;GF-EVAL-018;GF-EVAL-043;GF-EVAL-044;GF-EVAL-045;GF-EVAL-046,
